SrImaw	m. sg. nom.			271
laB	pr. [1] md. sg. 3			270
hari	m. sg. nom.			269
xA	pft. ac. sg. 3			268
kAla	m. sg. i.			267
svarga	m. sg. acc.			267
kqRNa	m. sg. nom.			266
kq	pft. ac. sg. 3			266
nAraxa	m. sg. nom.			265
vyAsa	m. sg. nom.			263
xeva	m. pl. acc.			262
mqx	ca. opt. ac. sg. 3			262
vana	n. sg. acc.			262
jFAna	n. sg. nom.			261
puwra	m. pl. nom.			261
brAhmaNa	m. pl. nom.			260
Sruwa	n. sg. nom.	Sru	pp.	260
loka	m. pl. acc.			260
pqWivI	f. sg. acc.			260
han	pr. [2] ac. sg. 3			259
viRNu	m. sg. g.			258
Sakra	m. sg. nom.			257
Bakwi	f. sg. i.			257
rUpa	n. sg. acc.			256
para	m. sg. acc.			255
uwwama	n. sg. nom.			253
AsWA	abs.			253
vqw	pr. [1] md. sg. 3			252
praBu	m. sg. voc.			251
sarvawra	ind.			251
iwyAxi	n. sg. nom.			251
saMyuga	n. sg. loc.			251
sarva	f. pl. nom.			250
nara	m. pl. nom.			250
kq	imp. [8] ac. sg. 2			250
BImasena	m. sg. nom.			250
yA	pr. [2] ac. pl. 3			249
agni	m. sg. acc.			248
brahman	m. sg. g.			248
saxyas	ind.			247
grah	abs.			247
wax	f. sg. loc.			247
yuXiRTira	m. sg. voc.			247
mahaw	m. sg. i.			245
soma	m. sg. nom.			245
sarva	m. pl. i.			245
wyaj	abs.			244
yukwa	m. sg. nom.	yuj	pp.	244
Baya	n. sg. nom.			243
pUj	opt. [10] ac. sg. 3			243
sawya	n. sg. acc.			242
pac	opt. [1] ac. sg. 3			242
ixam	n. sg. g.			241
wejas	n. sg. i.			241
pANdava	m. pl. g.			241
XanaFjaya	m. sg. nom.			240
paxa	n. sg. acc.			240
yajFa	m. sg. nom.			240
vac	inf.			239
pArWa	m. sg. nom.			238
mA	ind.			238
pArWa	m. sg. voc.			238
viXi	m. sg. i.			237
man	pr. [4] md. sg. 1			237
sUrya	m. sg. nom.			236
prANa	m. sg. nom.			236
Agawa	m. sg. nom.	Agam	pp.	236
SanEs	ind.			233
aXas	ind.			233
nqpa	m. sg. nom.			232
vAc	f. sg. nom.			232
