anyawra	2	193
SrImAn	2	193
hawaH	2	193
gaNa	1	193
sarveRu	2	192
xvayam	2	192
wayA	2	192
lokeRu	2	192
BImasenaH	2	192
karmaNi	2	191
viXinA	2	191
mAMsa	1	191
uwa	2	191
Sruwam	2	190
hiraNya	1	189
kRIra	1	189
guNEH	2	189
xaxO	2	189
raWAH	2	189
AxInAm	2	188
xAnava	1	188
yayO	2	188
UrXva	1	187
waxvaw	2	187
kroXa	1	187
vAsuxevaH	2	187
sixXiH	2	186
manaH	1	186
Sabxa	1	186
saxyaH	2	186
garBa	1	186
xeSa	1	186
aSva	1	186
prawyuvAca	2	186
priyam	2	185
SarIra	1	185
rUpeNa	2	185
wiRTawi	2	184
Apnowi	2	184
jIviwam	2	184
maNi	1	184
vayam	2	184
mqwyu	1	183
viXiH	2	183
agnim	2	183
karNa	1	182
xAha	1	182
SIwa	1	182
ruxra	1	182
sAXu	2	182
wvAm	2	182
AxiRu	2	181
saMyuge	2	181
prANaH	2	180
anila	1	180
svarga	1	180
cakRuH	2	179
kqRNaH	2	179
xaNda	1	178
BUmO	2	178
vIrya	1	178
yeRAm	2	178
wulya	1	178
svam	2	178
rAma	1	178
ewAni	2	176
pawim	2	176
prAha	2	176
wriBiH	2	175
Sawru	1	175
SakraH	2	175
syuH	2	174
Kalu	2	174
BayAw	2	174
kAFcanam	2	174
giri	1	174
SiraH	2	173
nASanam	2	173
xawwam	2	173
smqwAH	2	173
pibew	2	173
pqWivI	1	173
xve	2	173
xvijaH	2	173
aXaH	2	172
karwavyam	2	172
vaH	2	172
parasparam	2	172
viRNoH	2	172
yuxXe	2	172
gaxA	1	172
sahasram	2	171
hari	1	171
kRayam	2	170
xvO	2	170
gaNAH	2	170
kule	2	170
BAva	1	169
wasyAm	2	169
lokaH	2	169
ASrama	1	169
asura	1	169
prokwam	2	168
kRaya	1	168
jiw	2	168
apare	2	168
sAkRAw	2	168
puram	2	168
kqwe	2	167
koti	1	167
SarIram	2	167
pUrvavaw	2	167
pramANam	2	167
SuxXa	1	167
guNaH	2	167
xAna	1	167
mAwreNa	2	166
wejaH	2	166
uRNam	2	166
sWiwAH	2	166
kriyA	1	166
amla	1	166
BUwam	2	166
xqDa	1	165
agninA	2	165
nqpaH	2	165
lokasya	2	165
XaraH	2	165
AwmanA	2	165
xeva	2	165
maXya	1	164
akRaH	2	164
xvija	1	164
loha	1	164
wyakwvA	2	164
nu	2	164
pANdavAnAm	2	164
lifgam	2	163
prIwaH	2	163
xEwya	1	163
yuge	2	163
gacCew	2	162
manasaH	2	162
rAkRasAH	2	162
svAhA	2	162
uwwaram	2	162
Axiwya	1	162
